iter	Passed	Remaining
147	353	2034
148	354	2024
149	356	2018
150	358	2017
151	360	2010
152	361	2003
153	363	1998
154	365	1992
155	367	1987
156	368	1979
157	370	1973
158	371	1966
159	374	1966
160	376	1959
161	377	1952
162	379	1948
163	380	1941
164	382	1936
165	384	1929
166	385	1924
167	387	1918
168	389	1915
169	390	1908
170	392	1901
171	393	1896
172	395	1892
173	397	1888
174	398	1880
175	401	1877
176	402	1869
177	403	1863
178	407	1871
179	409	1864
180	411	1860
181	412	1853
182	413	1847
183	415	1843
184	416	1835
185	417	1827
186	421	1832
187	423	1827
188	424	1820
189	425	1815
190	427	1811
191	429	1806
192	430	1800
193	432	1794
194	433	1790
195	435	1786
196	437	1781
197	438	1776
198	439	1770
199	441	1767
200	442	1760
201	443	1753
202	444	1745
203	445	1738
204	446	1733
205	448	1728
206	450	1727
207	451	1720
208	453	1715
209	453	1707
210	455	1703
211	456	1697
212	458	1694
213	459	1687
214	460	1680
215	464	1686
216	466	1684
217	468	1681
218	469	1674
219	470	1667
220	474	1672
221	475	1667
222	477	1663
223	479	1660
224	481	1658
225	483	1657
226	486	1656
227	488	1652
228	490	1651
229	492	1647
230	494	1645
231	496	1643
232	497	1639
233	499	1635
234	501	1632
235	502	1626
236	505	1627
237	506	1621
238	509	1623
239	511	1618
240	515	1625
241	516	1619
242	520	1620
243	522	1620
244	524	1616
245	526	1613
246	529	1613
247	530	1609
248	532	1606
249	534	1603
250	536	1600
251	539	1601
252	540	1595
253	541	1589
254	541	1583
255	543	1578
256	545	1575
257	546	1572
258	548	1569
259	549	1564
260	557	1577
261	559	1576
262	566	1586
263	568	1584
264	569	1578
265	576	1590
266	580	1594
267	583	1592
268	584	1587
269	588	1590
270	589	1585
271	595	1593
272	596	1588
273	597	1583
274	598	1577
275	599	1571
276	600	1566
277	600	1560
278	601	1555
279	602	1549
280	603	1544
281	624	1589
282	625	1583
283	625	1577
284	629	1579
285	631	1576
286	633	1572
287	633	1567
288	634	1561
289	637	1561
290	640	1560
291	641	1555
292	642	1549
293	645	1550
294	648	1549
295	651	1548
296	652	1543
297	657	1548
298	658	1543
299	661	1544
300	662	1539
301	663	1534
302	664	1528
303	665	1523
304	675	1539
305	676	1533
306	681	1539
307	682	1534
308	683	1528
309	688	1531
310	689	1526
311	691	1525
312	694	1523
313	696	1520
314	697	1516
315	699	1514
316	702	1512
317	705	1512
318	706	1507
319	710	1510
320	713	1508
321	713	1503
322	716	1502
323	721	1505
324	722	1501
325	725	1499
326	727	1497
327	730	1495
328	731	1492
329	733	1490
330	735	1485
331	735	1480
332	736	1475
333	741	1478
334	743	1475
335	745	1473
336	747	1470
337	749	1468
338	750	1463
339	752	1460
340	754	1457
341	756	1454
342	757	1451
343	761	1452
344	763	1449
345	765	1446
346	766	1441
347	769	1442
348	771	1438
349	773	1435
350	774	1431
351	775	1428
352	777	1424
353	778	1420
354	780	1417
355	782	1415
356	784	1412
357	786	1411
358	789	1409
359	791	1407
360	795	1408
361	798	1407
362	799	1402
363	802	1402
364	803	1398
365	804	1394
366	810	1397
367	811	1394
368	813	1391
369	817	1392
370	819	1389
371	821	1386
372	823	1384
373	825	1381
374	826	1378
375	828	1374
376	830	1372
377	831	1368
378	833	1365
379	834	1362
380	837	1360
381	839	1358
382	844	1361
383	846	1358
384	849	1356
385	850	1353
386	852	1350
387	853	1346
388	856	1346
389	858	1342
390	859	1338
391	861	1335
392	862	1332
393	864	1330
394	866	1327
395	868	1324
396	870	1321
397	871	1317
398	874	1316
399	875	1313
400	877	1310
401	878	1306
402	880	1303
403	882	1302
404	884	1298
405	885	1295
406	886	1292
407	887	1288
408	891	1287
409	892	1284
410	894	1282
411	895	1278
412	897	1275
413	899	1272
414	904	1274
415	905	1271
416	907	1268
417	912	1270
418	912	1265
419	915	1264
420	917	1262
421	918	1258
422	924	1260
423	926	1258
424	927	1255
425	931	1254
426	933	1252
427	935	1250
428	937	1248
429	939	1245
430	941	1243
431	943	1239
432	944	1236
433	945	1232
434	948	1232
435	949	1228
436	951	1225
437	953	1223
438	955	1220
439	956	1216
440	957	1213
441	960	1212
442	962	1209
443	963	1207
444	964	1203
445	966	1200
446	969	1199
447	970	1195
448	971	1192
449	972	1188
450	976	1188
451	977	1185
452	979	1182
453	980	1179
454	982	1176
455	983	1173
456	985	1171
457	986	1167
458	989	1166
459	991	1164
460	993	1161
461	995	1158
462	996	1155
463	998	1153
464	999	1150
465	1001	1147
466	1002	1144
467	1005	1143
468	1006	1140
469	1008	1137
470	1010	1134
471	1011	1130
472	1015	1131
473	1017	1128
474	1018	1125
475	1020	1123
476	1022	1120
477	1023	1118
478	1025	1114
479	1027	1113
480	1028	1110
481	1030	1107
482	1032	1105
483	1034	1102
484	1036	1100
485	1037	1097
486	1040	1095
487	1042	1093
488	1043	1090
489	1046	1089
490	1049	1087
491	1049	1083
492	1052	1082
493	1054	1080
494	1056	1078
495	1058	1075
496	1060	1073
497	1062	1070
498	1064	1068
499	1065	1065
500	1068	1063
501	1069	1060
502	1072	1059
503	1073	1056
504	1075	1054
505	1077	1052
506	1079	1049
507	1080	1046
508	1082	1044
509	1084	1041
510	1085	1038
511	1087	1036
512	1090	1034
513	1091	1032
514	1092	1029
515	1095	1027
516	1097	1025
517	1098	1022
518	1101	1020
519	1102	1017
520	1103	1014
521	1105	1011
522	1107	1010
523	1108	1007
524	1110	1004
525	1111	1001
526	1114	1000
527	1116	998
528	1122	999
529	1124	997
530	1126	994
531	1128	992
532	1130	990
533	1132	988
534	1137	988
535	1139	986
536	1142	985
537	1144	982
538	1146	980
539	1148	978
540	1152	977
541	1154	975
542	1156	973
543	1160	972
544	1161	969
545	1165	968
546	1166	966
547	1168	963
548	1171	962
549	1172	959
550	1174	957
551	1176	954
552	1178	952
553	1179	949
554	1182	947
555	1184	945
556	1185	942
557	1190	943
558	1191	940
559	1194	938
560	1195	935
561	1196	932
562	1200	931
563	1204	931
564	1207	929
565	1209	927
566	1211	924
567	1213	922
568	1215	920
569	1216	917
570	1217	914
571	1220	913
572	1221	910
573	1227	911
574	1229	908
575	1230	905
576	1231	902
577	1232	899
578	1235	898
579	1236	895
580	1238	893
581	1239	890
582	1240	887
583	1241	884
584	1242	881
585	1243	878
586	1244	875
587	1245	872
588	1246	869
589	1247	866
590	1248	863
591	1249	860
592	1249	857
593	1250	854
594	1251	852
595	1252	849
596	1253	846
597	1254	843
598	1255	840
599	1255	837
600	1256	834
601	1257	831
602	1258	828
603	1259	825
604	1259	822
605	1260	819
606	1261	816
607	1262	813
608	1263	811
609	1264	808
610	1265	805
611	1266	802
612	1267	800
613	1268	797
614	1269	794
615	1270	792
616	1271	789
617	1272	786
618	1273	783
619	1274	781
620	1275	778
621	1275	775
622	1276	772
623	1277	769
624	1285	771
625	1286	768
626	1286	765
627	1287	762
628	1288	759
629	1289	757
630	1290	754
631	1291	752
632	1292	749
633	1293	746
634	1294	744
635	1295	741
636	1295	738
637	1297	735
638	1298	733
639	1299	730
640	1299	727
641	1300	725
642	1301	722
643	1302	719
644	1302	717
645	1303	714
646	1305	712
647	1305	709
648	1306	706
649	1307	704
650	1308	701
651	1309	698
652	1310	696
653	1311	693
654	1311	690
655	1312	688
656	1313	685
657	1314	683
658	1315	680
659	1316	677
660	1316	675
661	1317	672
662	1318	670
663	1319	667
664	1320	665
665	1321	662
666	1322	660
667	1323	657
668	1323	654
669	1324	652
670	1325	649
671	1326	647
672	1327	644
673	1327	642
674	1328	639
675	1329	637
676	1330	634
677	1331	632
678	1332	629
679	1333	627
680	1334	625
681	1337	623
682	1338	621
683	1338	618
684	1339	616
685	1340	613
686	1341	611
687	1343	609
688	1343	606
689	1344	604
690	1345	601
691	1346	599
692	1348	597
693	1348	594
694	1349	592
695	1350	590
696	1352	588
697	1356	587
698	1357	584
699	1358	582
700	1359	579
701	1360	577
702	1361	575
703	1361	572
704	1362	570
705	1363	567
706	1364	565
707	1365	563
708	1366	560
709	1367	558
710	1367	556
711	1368	553
712	1369	551
713	1370	548
714	1371	546
715	1372	544
716	1372	541
717	1373	539
718	1374	537
719	1375	534
720	1376	532
721	1377	530
722	1377	527
723	1378	525
724	1379	523
725	1380	520
726	1381	518
727	1382	516
728	1383	514
729	1384	511
730	1385	509
731	1385	507
732	1386	505
733	1387	502
734	1388	500
735	1388	498
736	1389	496
737	1391	493
738	1394	492
739	1395	490
740	1398	488
741	1398	486
742	1399	484
743	1401	482
744	1402	479
745	1404	478
746	1406	476
747	1408	474
748	1409	472
749	1411	470
750	1412	468
751	1416	467
752	1417	464
753	1418	462
754	1422	461
755	1423	459
756	1424	457
757	1426	455
758	1428	453
759	1430	451
760	1431	449
761	1431	447
762	1432	445
763	1433	442
764	1434	440
765	1435	438
766	1435	436
767	1439	434
768	1440	432
769	1441	430
770	1444	429
771	1445	426
772	1446	424
773	1450	423
774	1451	421
775	1452	419
776	1453	417
777	1457	415
778	1458	413
779	1459	411
780	1462	410
781	1463	408
782	1464	405
783	1465	403
784	1466	401
785	1470	400
786	1474	398
787	1475	396
788	1475	394
789	1477	392
790	1478	390
791	1480	388
792	1481	386
793	1482	384
794	1484	382
795	1485	380
796	1489	379
797	1490	377
798	1493	375
799	1493	373
800	1495	371
801	1496	369
802	1497	367
803	1498	365
804	1500	363
805	1501	361
806	1504	359
807	1505	357
808	1507	355
809	1508	353
810	1509	351
811	1510	349
812	1511	347
813	1512	345
814	1513	343
815	1514	341
816	1515	339
817	1515	337
818	1516	335
819	1517	333
820	1518	331
821	1519	329
822	1520	327
823	1521	324
824	1522	322
825	1522	320
826	1523	318
827	1524	316
828	1525	314
829	1526	312
830	1526	310
831	1527	308
832	1528	306
833	1529	304
834	1530	302
835	1531	300
836	1531	298
837	1532	296
838	1533	294
839	1534	292
840	1535	290
841	1535	288
842	1536	286
843	1537	284
844	1538	282
845	1539	280
846	1540	278
847	1541	276
848	1542	274
849	1543	272
850	1544	270
851	1545	268
852	1546	266
853	1547	264
854	1550	262
855	1551	261
856	1552	259
857	1553	257
858	1554	255
859	1555	253
860	1556	251
861	1557	249
862	1558	247
863	1559	245
864	1560	243
865	1560	241
866	1563	239
867	1564	237
868	1566	236
869	1566	234
870	1568	232
871	1568	230
872	1569	228
873	1570	226
874	1572	224
875	1573	222
876	1574	220
877	1575	218
878	1576	216
879	1577	215
880	1578	213
881	1579	211
882	1580	209
883	1581	207
884	1582	205
885	1583	203
886	1584	201
887	1585	199
888	1586	198
889	1587	196
890	1588	194
891	1589	192
892	1590	190
893	1591	188
894	1592	186
895	1593	184
896	1594	183
897	1595	181
898	1596	179
899	1597	177
900	1597	175
901	1598	173
902	1599	171
903	1600	169
904	1601	168
905	1602	166
906	1603	164
907	1604	162
908	1605	160
909	1606	158
910	1606	156
911	1607	155
912	1608	153
913	1609	151
914	1610	149
915	1612	147
916	1613	146
917	1614	144
918	1617	142
919	1619	140
920	1619	138
921	1620	137
922	1621	135
923	1622	133
924	1623	131
925	1624	129
926	1625	127
927	1626	126
928	1626	124
929	1629	122
930	1630	120
931	1632	119
932	1633	117
933	1634	115
934	1634	113
935	1636	111
936	1637	110
937	1638	108
938	1639	106
939	1640	104
940	1641	102
941	1642	101
942	1643	99
943	1645	97
944	1646	95
945	1647	94
946	1648	92
947	1649	90
948	1650	88
949	1651	86
950	1652	85
951	1653	83
952	1655	81
953	1656	79
954	1656	78
955	1657	76
956	1658	74
957	1659	72
958	1660	70
959	1661	69
960	1662	67
961	1663	65
962	1664	63
963	1665	62
964	1666	60
965	1667	58
966	1667	56
967	1668	55
968	1669	53
969	1670	51
970	1671	49
971	1672	48
972	1672	46
973	1673	44
974	1674	42
975	1675	41
976	1676	39
977	1677	37
978	1678	36
979	1679	34
980	1680	32
981	1681	30
982	1682	29
983	1683	27
984	1684	25
985	1684	23
986	1685	22
987	1686	20
988	1687	18
989	1688	17
990	1689	15
991	1690	13
992	1691	11
993	1692	10
994	1693	8
995	1693	6
996	1694	5
997	1695	3
998	1696	1
999	1697	0
